title,excerpt,start_date,views,answers,votes,url
Why calling Process.killProcess(Process.myPid()) is a bad idea?,"
            I've read some posts saying using this method is ""not good"", shouldn't been use, it's not the right way to ""close"" the application and it's not how android works... 

I understand and accept the fact ...
        ",2012-06-14 14:31:18Z,"8,762",3,22,https://stackoverflow.com/questions/11035328/why-calling-process-killprocessprocess-mypid-is-a-bad-idea
Interacting with avatar using Kinect and Unity,"
            I want to move the avatar based on the movement the player using kinect and Unity, are there any good tutorials?

We are using unity and Kinect interface to create a simple application. Based on the ...
        ",2012-04-13 10:33:41Z,"10,165",3,22,https://stackoverflow.com/questions/10139229/interacting-with-avatar-using-kinect-and-unity
Google play error when making a purchase while implementing Soomla Unity3d plugin,"
            I am creating an app that implements the Soomla Unity IAP plugin. In my effort to get the IAP to work, I have gotten to a point where I can make a purchase when in the editor. (Not a real purchase, it ...
        ",2015-08-24 23:49:38Z,"1,543",4,22,https://stackoverflow.com/questions/32193489/google-play-error-when-making-a-purchase-while-implementing-soomla-unity3d-plugi
Mirrored mesh and wrong UV map runtime export,"
            EDIT: So after a brief contact with the Assimp dev, I was pointed towards the import process. As I took over the code from someone else, I did not think looking that part:

using (var importer = new ...
        ",2017-05-08 07:59:39Z,307,0,22,https://stackoverflow.com/questions/43842548/mirrored-mesh-and-wrong-uv-map-runtime-export
Unable to verify assembly data; you must provide an authorization key when loading this assembly,"
            I'm testing the InteractiveConsole example in Unity. I did some configurations as described in the official tutorial.
After some setups I got on step 7: Run our example code.

However, I'm receiving ...
        ",2014-02-16 17:56:50Z,"8,385",3,21,https://stackoverflow.com/questions/21815128/unable-to-verify-assembly-data-you-must-provide-an-authorization-key-when-loadi
"Unity 4.3 - understanding positions and screen resolution, how to properly set position of object?","
            Using Unity 4.3 in 2d mode I have a GameObject which is a sprite (in the SpriteRenderer I've setted the sprite), and I'm trying to position it in the top-left of the screen.

I would like to have this ...
        ",2014-03-23 17:07:13Z,"29,896",1,20,https://stackoverflow.com/questions/22594074/unity-4-3-understanding-positions-and-screen-resolution-how-to-properly-set-p
IronPython in Unity3D,"
            I am trying to use IronPython as an external scripting language for Unity3D. The necessary DLLs for IronPython's execution load just fine inside of Assets\Plugins. However, when I try to run the ...
        ",2012-08-01 19:28:46Z,"6,607",1,20,https://stackoverflow.com/questions/11766181/ironpython-in-unity3d
Unity vs Libgdx vs Cocos2d-x [closed],"
            I'm a Android and a Software Programmer. 

Currently I know three languages C++, C#, Java. Now I want to make games as well. After searching the Internet I got the names of these three engine, so ...
        ",2014-08-17 11:03:38Z,"30,069",2,19,https://stackoverflow.com/questions/25348614/unity-vs-libgdx-vs-cocos2d-x
ActivityNotFoundException when using Facebook plugin with Unity,"
            I'm using Unity 5.2.2p2, Facebook Unity SDK 7.2.2 and the Prime31's Android IAB plugin 2.9. When I compile my app and run it on a device, in the adb logs I see this:

I/Unity   (18149): ...
        ",2015-12-03 21:50:02Z,698,1,19,https://stackoverflow.com/questions/34076884/activitynotfoundexception-when-using-facebook-plugin-with-unity
React Native with Unity,"
            Does anyone have any experience combining React Native and Unity? I'm looking to start a Unity project that's very UI Heavy and I'm thinking about using React Native to take advantage of its UI ...
        ",2015-10-16 16:28:35Z,"5,500",2,19,https://stackoverflow.com/questions/33175296/react-native-with-unity
"In Unity, how does Unity magically call all “Interfaces”?","
            Unity has an ""interface"" as they call it IPointerDownHandler (doco).

You simply implement OnPointerDown ...

public class Whoa:MonoBehaviour,IPointerDownHandler
    {
    public void OnPointerDown (...
        ",2016-03-27 18:34:52Z,"1,158",2,18,https://stackoverflow.com/questions/36251078/in-unity-how-does-unity-magically-call-all-interfaces
Why float.Epsilon and not zero?,"
            In the following code, why is there a comparison against float.Epsilon and not 0?

// Coroutine to move elements
protected IEnumerator SmoothMovement (Vector3 end)
{
    // Distance computation
    ...
        ",2015-05-13 13:37:33Z,"4,183",2,18,https://stackoverflow.com/questions/30216575/why-float-epsilon-and-not-zero
Weird collision bug in Unity 2d game,"
            Github Repository (Scripts folder, has all code in .cs files)

I have this weird collision bug in unity, here's a gif of it:
Recreating: In the gif, for example, I press both Left arrow and Up arrow ...
        ",2015-12-24 20:25:43Z,883,2,18,https://stackoverflow.com/questions/34457613/weird-collision-bug-in-unity-2d-game
A method for making HTTP requests on Unity iOS?,"
            I need to send HTTP requests with all the standard RESTful methods and access to the body of the request in order to send/receive JSON with it. I've looked into,

WebRequest.HttpWebRequest

This works ...
        ",2012-09-01 03:12:24Z,"24,243",4,18,https://stackoverflow.com/questions/12224602/a-method-for-making-http-requests-on-unity-ios
Exclude values from Random.Range()?,"
            If you are using Random.Range() to generate values, is there any way to exclude some values within the range (for example: pick a number between 1 and 20, but not 6 through 8)?
        ",2016-06-17 10:10:39Z,"2,473",6,17,https://stackoverflow.com/questions/37878848/exclude-values-from-random-range
Using .NET 4.5 code in Unity 5,"
            I am working on a game using Unity3D version 5. The game should use strict business rules already programmed in a C# .NET4.5 engine. Using Xamarin/Mono, we hope to make this usable on windows, android,...
        ",2015-03-16 14:32:07Z,"29,770",3,17,https://stackoverflow.com/questions/29079409/using-net-4-5-code-in-unity-5
Using new Unity VideoPlayer and VideoClip API to play video,"
            MovieTexture is finally deprecated after Unity 5.6.0b1 release and new API that plays video on both Desktop and Mobile devices is now released.

VideoPlayer and VideoClip can be used to play video and ...
        ",2016-12-14 13:38:42Z,"15,915",2,17,https://stackoverflow.com/questions/41144054/using-new-unity-videoplayer-and-videoclip-api-to-play-video
Unity GET/POST Wrapper,"
            This is a Unity3d in C# question. The goal is to create an object such that I can pass in a URL and receive data via GET, an object that I would create the would be a wrapper for the WWW logic. I ...
        ",2012-01-21 07:45:08Z,"45,782",3,17,https://stackoverflow.com/questions/8951489/unity-get-post-wrapper
Add gameobject dynamically to scene in Unity3d,"
            I am creating a scene in which I want to show list of offers. In order to show the offer, I created a prefab with placeholders for the offer details which I will get at runtime. I created a place ...
        ",2013-03-19 12:55:10Z,"52,153",2,17,https://stackoverflow.com/questions/15500137/add-gameobject-dynamically-to-scene-in-unity3d
Debugging in Unity (C#) + Visual Studio Code Work on OS X?,"
            I really like the idea of working with Visual Studio, C# and Unity on OS X.

Has anyone made debugging with C# in Unity work with Visual Studio Code on OS X?
        ",2015-04-30 02:22:43Z,"7,120",7,17,https://stackoverflow.com/questions/29957958/debugging-in-unity-c-visual-studio-code-work-on-os-x
How can character's body be continuously rotated when its head is already turned by 60°`?,"
            After some experimenting I parented an empty (HeadCam) to the character's neck.
This snippet allow rotation of the head synchronously to the CardboardHead/Camera. 

void LateUpdate() {
    neckBone....
        ",2015-06-04 21:14:09Z,685,2,17,https://stackoverflow.com/questions/30654290/how-can-characters-body-be-continuously-rotated-when-its-head-is-already-turned
Procedurally Generate Low Poly Trees,"
            I am looking for an algorithm or product that will generate low poly trees. Doesn't matter the language. I have searched all over and there are plenty of ""tree generation"" algorithms but they cater to ...
        ",2015-03-31 18:30:36Z,"4,438",2,17,https://stackoverflow.com/questions/29375878/procedurally-generate-low-poly-trees
Strange indentation upon code formatting with MonoDevelop (double indentation),"
            When I use code formatting with MonoDevelop (Shortcut: Ctrl+I), everything gets double-indented:

namespace Example
{ 
        public class Test
        {
                public static void Main(...
        ",2013-12-01 20:00:30Z,"6,213",1,16,https://stackoverflow.com/questions/20316564/strange-indentation-upon-code-formatting-with-monodevelop-double-indentation
c# method override in Unity3d,"
            In the latest weeks I played with Unity3d using c# as scripting language.
I never used before c# nor Unity3d, and I'm trying to understand how methods overriding works in Unity framework.
What wonders ...
        ",2016-06-27 07:59:20Z,"1,441",3,16,https://stackoverflow.com/questions/38048642/c-sharp-method-override-in-unity3d
Is coroutine a new thread in Unity3D?,"
            I am confused and curious about how coroutines (in Unity3D and perhaps other places) work. Is coroutine a new thread? Unity's documentation they said:
  A coroutine is a function that can suspend its ...
        ",2013-06-06 00:22:42Z,"12,374",1,16,https://stackoverflow.com/questions/16951904/is-coroutine-a-new-thread-in-unity3d
Getting Valid JNIEnv pointer,"
            I have a C++ dll that I want to use in Unity by exporting the functions to C#. The Unity project runs on Android devices and the C++ code makes use of java. To initialize the C++ I need to call the ...
        ",2016-08-09 23:52:23Z,431,2,16,https://stackoverflow.com/questions/38862197/getting-valid-jnienv-pointer
OpenCV (EMGUCV wrapper) integration in Unity,"
            As you know OpenCV is very useful library that let you do amazing and powerful things in Computer vision. So I passed a good time to figure out how to use it in Unity3d, I had many problems, and ...
        ",2013-05-17 15:14:31Z,"10,920",1,16,https://stackoverflow.com/questions/16612513/opencv-emgucv-wrapper-integration-in-unity
Xcode 6.2 - unable to archive a build,"
            I recently updated to OSx 10.10.2 and Xcode 6.2.

I have a Unity project I'm working on that I've made for iOS and released through iTunes connect dozens of times. Now, on Xcode 6.2, once I get my ...
        ",2015-03-16 18:36:20Z,"13,561",2,15,https://stackoverflow.com/questions/29084456/xcode-6-2-unable-to-archive-a-build
Unity game manager. Script works only one time,"
            I'm making simple game manager. I have a script, which will be accessible from all scenes in the game. And I need to check values of its variables after loading new scene. But my code runs only once ...
        ",2016-03-09 11:55:33Z,"8,940",1,15,https://stackoverflow.com/questions/35890932/unity-game-manager-script-works-only-one-time
Why does Resources.Load <Sprite> return null?,"
            My project has multiple sprites located in Assets\Sprites which I want to load using C# script.

I have tested this:

Sprite myFruit = Resources.Load <Sprite> (""Graphics_3"");
But myFruit is ...
        ",2014-07-27 04:45:34Z,"44,040",6,15,https://stackoverflow.com/questions/24977986/why-does-resources-load-sprite-return-null
What is the Android Bundle Version and Version Code and how do they relate?,"
            a) What does the Android bundle version and version code denote? 

b) What is the difference between the bundle version and version code?

i) Suppose I have a bundle version of 0.137, how does the ...
        ",2012-03-15 13:00:12Z,"24,611",3,15,https://stackoverflow.com/questions/9720229/what-is-the-android-bundle-version-and-version-code-and-how-do-they-relate
Why i can't see Fixed Angle option in Rigidbody2D in the new Unity5?,"
            That's it, i can't see the option in the inspector. I saw it in the old Unity4 but i can't do it now in unity 5. Also, it is in the 5.10 version. Please help me, i'm newbie haha.
        ",2015-06-12 03:02:16Z,"8,611",1,15,https://stackoverflow.com/questions/30794689/why-i-cant-see-fixed-angle-option-in-rigidbody2d-in-the-new-unity5
Unity vs Torque game engines and IDE environment,"
            I want to get people's opinion of Torque and Unity and their IDE tools.

You build Torque games using one of their engines (I'm currently interested in the iPhone engine), and Torque Game Builder  (...
        ",2009-11-23 01:26:32Z,"11,802",6,15,https://stackoverflow.com/questions/1780690/unity-vs-torque-game-engines-and-ide-environment
The app is incompatible with all your devices,"
            I've already read all the related questions before posting this one.

I've developed a game with Unity3D and uploaded to Google Play. Yesterday it was available for all devices, there were reviews ...
        ",2014-02-12 14:20:25Z,"8,383",4,15,https://stackoverflow.com/questions/21730560/the-app-is-incompatible-with-all-your-devices
How do I resolve C# dependencies automatically?,"
            I've been reading about Unity's dependency injection and I understand it's a thing and that it allows you to type a class to an interface.  What I'm curious about is, do I HAVE to?  In the below ...
        ",2016-06-14 04:05:18Z,654,4,15,https://stackoverflow.com/questions/37802782/how-do-i-resolve-c-sharp-dependencies-automatically
Rebuilding Unity Project from DLLs?,"
            I have lost my Unity project which was located on my hard drive. Fortunately, I have found some files that were associated with my project. See here.

Now, I have successfully converted Assembly-...
        ",2016-02-04 20:12:41Z,502,2,15,https://stackoverflow.com/questions/35210695/rebuilding-unity-project-from-dlls
"in android 6.0.1, retrieving the camera photo is not working","
            1- 
Some colleague (who is an android developer using android studio)
is facing a problem when he tests his application on my phone (which is a nexus 5 with android 6.0.1), the problem he is facing is ...
        ",2016-02-07 14:39:33Z,"1,321",5,15,https://stackoverflow.com/questions/35254808/in-android-6-0-1-retrieving-the-camera-photo-is-not-working
unity smartfoxserver connection error,"
            I'm using Smartfoxserver api on Unity3d, it was working fine before I recovery my macbook, but now gives a connection error as below :

Http error creating http connection: System.Net.Sockets....
        ",2017-08-19 19:57:07Z,183,0,15,https://stackoverflow.com/questions/45775780/unity-smartfoxserver-connection-error
Get App Bundle Version in Unity3d,"
            Simple question, but seems very hard to find.

I am building an Android and iOS game. And I want to extract the version (i.e. ""2.0.1"") of the app (to display a popup if there is a newer version on App ...
        ",2013-06-20 07:58:50Z,"25,707",3,14,https://stackoverflow.com/questions/17208261/get-app-bundle-version-in-unity3d
Cap string to a certain length directly without a function,"
            Not a duplicate of this.

I want to make a string have a max length. It should never pass this length. Lets say a 20 char length. If the provided string is > 20, take the first 20 string and discard ...
        ",2016-12-08 20:51:11Z,429,2,14,https://stackoverflow.com/questions/41048585/cap-string-to-a-certain-length-directly-without-a-function
Unity 5.3 How to load current level?,"
            before Unity 5.3, I could do 

Application.LoadLevel(Application.loadedLevel);
But now it's something weird with SceneManager. I've read documentation but nothing. How do I get the current scene and ...
        ",2015-12-09 04:20:48Z,"12,138",3,14,https://stackoverflow.com/questions/34170650/unity-5-3-how-to-load-current-level
How can I find out what is creating garbage? [closed],"
            This is a really general learning-based question, not a technical problem.

I'm making a game in Unity.  The game involves a lot of pretty complex, high-object-count processes, and as such, I generate ...
        ",2013-12-05 23:58:06Z,"6,015",2,14,https://stackoverflow.com/questions/20413333/how-can-i-find-out-what-is-creating-garbage
"Unity, weird debugging","
            I've added the necessary using statement. using System.Collections.Generic to the top of my class and the compiler happily accepts my use of Lists, but when I'm debugging I'm getting a very weird ...
        ",2013-01-15 00:23:45Z,"5,315",3,14,https://stackoverflow.com/questions/14329222/unity-weird-debugging
Is there something like python decorators for c#?,"
            I am wrapping calls to an API and most of my methods have in their first lines:

if ( !Gree.Authorizer.IsAuthorized() )
{
    return;
}
In python I would decorate those methods with something like @...
        ",2012-11-07 11:54:24Z,"1,423",3,14,https://stackoverflow.com/questions/13269246/is-there-something-like-python-decorators-for-c
How to start an Android activity from a Unity Application?,"
            I know this seems to be a trivial question but I could not find any concrete answer anywhere on the internet. I saw this very similar question on stackoverflow: How to start Unity application from ...
        ",2012-04-09 05:34:28Z,"26,244",2,14,https://stackoverflow.com/questions/10069340/how-to-start-an-android-activity-from-a-unity-application
SerializationException: Could not find type 'System.Collections.Generic.List`1 in c# unity3d,"
            I am trying to serialize and deserialize an object in c# unity3d. For that I am using the below code. But I am getting an error mentioned below.  
  Error: SerializationException: Could not find type ...
        ",2017-09-09 05:14:45Z,322,2,14,https://stackoverflow.com/questions/46127352/serializationexception-could-not-find-type-system-collections-generic-list1-i
How to retrieve google play games ID with the new updated Google play games Gamer ID?,"
            I have used Google play unity package for google play Service sign In. Using the profile ID(generated at sign In) I have identified the users.But as of now,the updated google Play games generates new ...
        ",2016-03-21 13:04:13Z,"5,752",1,14,https://stackoverflow.com/questions/36131815/how-to-retrieve-google-play-games-id-with-the-new-updated-google-play-games-game
App implementing Parse Unity Plugin crashes on android device but works fine in editor,"
            I am trying to use Parse in my Unity game in order to implement high scores. My problem is that when I try to put the game on my android device to test it, the name of the app comes up different. It ...
        ",2015-08-02 18:49:30Z,608,2,14,https://stackoverflow.com/questions/31775390/app-implementing-parse-unity-plugin-crashes-on-android-device-but-works-fine-in
Changing a Spring Joint's resting length in Unity3d,"
            According to Spring Joint's documentation, a spring's resting length (the length at which the spring won't try to pull or push together the two bodies it connects) is the distance that was calculated ...
        ",2017-02-07 06:10:39Z,176,1,14,https://stackoverflow.com/questions/42082902/changing-a-spring-joints-resting-length-in-unity3d
WWW.responseHeader[“STATUS”] does not exists,"
            I already asked on answers.unity3d but as there is no response I'll ask on SO too..

I'm not able to retrieve the http status of a response on the WWW object on Windows Phone 8 and Windows RT 8.1 (...
        ",2015-10-20 11:48:33Z,414,2,14,https://stackoverflow.com/questions/33235851/www-responseheaderstatus-does-not-exists
Why MS access odbc returns numbers but no strings in C#?,"
            I'm using an ODBC connection to fetch data from an Access file (.mdb) in a Unity3D environment (Mono.net) on Windows 7 and the connection, deconnection and requests happen without any error.

But when ...
        ",2015-05-29 14:22:55Z,501,4,14,https://stackoverflow.com/questions/30532065/why-ms-access-odbc-returns-numbers-but-no-strings-in-c
How can I look through my camera in the Scene view in Unity?,"
            Without going to game view. Is this even possible?
        ",2009-05-18 12:02:24Z,"29,815",8,13,https://stackoverflow.com/questions/877383/how-can-i-look-through-my-camera-in-the-scene-view-in-unity
Does Unity's free version come with full source code?,"
            I am thinking of using Unity's free version. Does anyone know if it comes with full source code?

Also, what are the licenses like (how flexible compare to Torque engine.)
        ",2009-04-17 23:42:39Z,"5,857",4,13,https://stackoverflow.com/questions/762578/does-unitys-free-version-come-with-full-source-code
How to modify RectTransform properties in script [Unity 4.6 beta],"
            Hello, I'm using the new UI system from Unity 4.6 beta...

Tried different codes, looked at the docs and searched around but can't find the answer…

For example. I have an image and I want to change ...
        ",2014-10-17 10:58:51Z,"54,130",6,13,https://stackoverflow.com/questions/26423549/how-to-modify-recttransform-properties-in-script-unity-4-6-beta
How to prevent colliders from passing through each other?,"
            I am having trouble keeping game objects inside of a contained space. When they reach the edge, there is some momentary push back but then they will go right through the wall.

I am using a Box ...
        ",2012-03-13 16:39:52Z,"90,573",7,13,https://stackoverflow.com/questions/9688237/how-to-prevent-colliders-from-passing-through-each-other
