title,excerpt,start_date,votes,status,url
A Physics2D.IgnoreCollision function is vital for proper one-way platfor...,"With Unity's new 2D tools, a very common thing people will be attempting is to make platformers, and an extremely fundamental part o... ","Nov 22, 2013",1392,Completed,https://feedback.unity3d.com/suggestions/a-physics2d-dot-ignorecollision-function-is-vital-for-proper-one-way-platformers-in-unity2d
Allow access to Sprite Packer atlas to retrieve sprites by name.,Sprite packer works really well (in 4.6b18) to create a sprite Atlas. Which reduces draw calls. But it does not allow you to access ... ,"Sep 17, 2014",1305,Started,https://feedback.unity3d.com/suggestions/allow-access-to-sprite-packer-atlas-to-retrieve-sprites-by-name
MonoDevelop Add-in instead of Custom version of MonoDevelop,I would like to request that Unity break its dependency on a custom version of MonoDevelop that can one be updated when a new releas... ,"May 26, 2012",1305,Declined,https://feedback.unity3d.com/suggestions/monodevelop-addin-instead-of-cu
"[UI beta] Add ability to mask with smooth alpha, and invert the mask","The problem is that masks use alpha, sure, but only to the point where the value is 0, or 1 instead of floating point.

https://ww... ","Sep 22, 2014",1293,,https://feedback.unity3d.com/suggestions/ui-beta-add-ability-to-mask-with-smooth-alpha-and-invert-the-mask
Operating System DPI settings support.,Windows has DPI setting for cases of HD screens. For example with 21 inch screen and 1920x1080 all items on the screen are very smal... ,"Mar 14, 2012",1166,,https://feedback.unity3d.com/suggestions/operating-system-dpi-settings-su
Linux support for webplayer.,"Although the original linux feature request has been marked completed, there is still no webplayer on linux and no stated plans for ... ","Dec 02, 2012",1104,Declined,https://feedback.unity3d.com/suggestions/linux-support-for-webplayer
Platform: Support for ARM Linux,ARM Linux systems are on the rise and ARM hardware is getting better. Ubuntu are making phones / tablets based on ARM Linux. Other d... ,"Aug 27, 2013",1095,,https://feedback.unity3d.com/suggestions/platform-support-for-arm-linux
Support Retina resolutions in the Editor,"As of Unity 3.5.5f3 and OS X 10.8.1, Unity doesn't use Retina's native resolution in the editor. This results in visible pixellation... ","Sep 05, 2012",975,Completed,https://feedback.unity3d.com/suggestions/support-retina-resolutions-in-th
Allow Native Code Plugins for Unity Free,"Unity Free license doesn't support Native Code Plugins right now.

This limitation is also preventing publishers in the Asset Stor... ","Oct 01, 2013",961,Completed,https://feedback.unity3d.com/suggestions/allow-native-code-plugins-for-un
Allow Enum's with onclick buttons,"When you create an enum and make it public like:
public enum CURRENT_MENU_SELECTION {Tower, Base, Special, Stats, Options, Purchase... ","Mar 06, 2015",946,,https://feedback.unity3d.com/suggestions/allow-enums-with-onclick-buttons
Editor: Panic Button for infinite loops,Sometimes the game will get stuck in an infinite loop and when you check the editor logs you can see things being logged. The Unity ... ,"Apr 22, 2009",943,,https://feedback.unity3d.com/suggestions/editor-panic-button-for-infinit
GameObject.Find* methods should be able to find inactive objects,"Once an object has been set inactive, it can't be found again using any of the Find methods. This means that any time you want to us... ","Sep 01, 2010",929,Under review,https://feedback.unity3d.com/suggestions/gameobjectfind-methods-should-
Graphics: built-in Morph Target support,"There's no built-in support for Morph Targets (a.k.a. Blend Shapes or Vertex Level Animation).

Of course it's possible to do some... ","Apr 08, 2009",918,Completed,https://feedback.unity3d.com/suggestions/graphics-builtin-morph-target-
Editor: Scaleform-like Flash Support,"Add some sort of Flash support (via Scaleform, direct Flash plugin or other means).

With solid Action Script support and two-way ... ","Apr 15, 2009",899,Declined,https://feedback.unity3d.com/suggestions/editor-scaleformlike-flash-sup
Unity Visual Scripting like unreal Engine 4 Blueprint,"A complete gameplay scripting system based on the concept of using a node-based interface to create gameplay elements from within ""U... ","May 28, 2015",872,Under review,https://feedback.unity3d.com/suggestions/unity-visual-scripting-like-unreal-engine-4
"Editor: Ability to save tweaked scene values in ""play game"" mode",Who has not hit play in the editor and tweaked some parameters - and wishing for an ability to save those specific tweaked values. T... ,"Apr 15, 2009",869,Started,https://feedback.unity3d.com/suggestions/editor-ability-to-save-tweaked-
Remove or hide packages in the downloads tab of the Asset Store window,The downloads history view can become polluted with tons of old packages which you may never use again. The more unwanted packages t... ,"Sep 19, 2014",842,Completed,https://feedback.unity3d.com/suggestions/remove-or-hide-packages-in-the-downloads-tab-of-the-asset-store-window
Support for Nvidia Gameworks FLEX (Unified Particle Physics for Real-Tim...,"This is the future of in-game physics, the sooner it gets implemented into Unity the better.

https://www.youtube.com/watch?v=ffgR... ","Feb 01, 2015",832,,https://feedback.unity3d.com/suggestions/support-for-nvidia-gameworks-flex-unified-particle-physics-for-real-time-applications-in-unity
4.6 Beta: Label Rich Text includes inline Hyperlink,"User may specify a string that will be messaged to the clicked game objects through: 
void OnClickLink( string url )

Rich Text t... ","Jun 05, 2014",831,,https://feedback.unity3d.com/suggestions/4-dot-6-beta-label-rich-text-includes-inline-hyperlink
Terrain: Road/River splines,"We need road and river splines, like in CryEngine and Torque.

That would allow us to modify a simple spline, which would modify the... ","Apr 27, 2009",794,Under review,https://feedback.unity3d.com/suggestions/terrain-roadriver-splines
Pause render loop for lower power consumption on mobile,"Instead of clearing and re-rendering the scene every frame, allow the application to indicate that nothing on screen is changing and... ","Jan 01, 2015",787,,https://feedback.unity3d.com/suggestions/manually-activated-render-loop-for-lower-power-consumption-on-mobile
"[Mecanim] ""Any Sub-State"" Node in Sub-States","We need an ""Any Sub-State"" Node that only refers to the nodes (states) in the same Sub-State-Machine. So that we can have eg. an idl... ","Oct 06, 2015",779,,https://feedback.unity3d.com/suggestions/mecanim-any-sub-state-node-in-sub-states
Swift support,"Please, add Swift support when it goes open source ","Jul 08, 2015",737,,https://feedback.unity3d.com/suggestions/swift-support
Full control of VR rendering (API),"With the current VR API it is impossible to render advanced 3D effects special 3D effects. We need the power to integrate with, or e... ","Mar 15, 2016",729,,https://feedback.unity3d.com/suggestions/full-control-of-vr-rendering-api
Re-add local identifiers in scene file for prefab instances,"In Unity 5.0, Prefab instances no longer have a unique identifier stored in the scene file. This seems to be intended, but it breaks... ","Mar 04, 2015",727,,https://feedback.unity3d.com/suggestions/re-add-local-identifiers-in-scene-file-for-prefab-instances
CommandBuffer.SetRenderTarget variants with mipLevel and Face arguments,Getting CommandBuffer.SetRenderTarget to feature parity with Graphics.SetRenderTarget by including variants with mipLevel and face a... ,"Aug 12, 2015",721,Completed,https://feedback.unity3d.com/suggestions/commandbuffer-dot-setrendertarget-variants-with-miplevel-and-face-arguments
Async Texture2D.LoadImage and other texture operations,"Hello.

I'd like to see asynchronous variant for loading external JPG and PNG textures that doesn't block the main thread and caus... ","Nov 18, 2014",702,,https://feedback.unity3d.com/suggestions/async-texture2d-dot-loadimage-and-other-texture-operations
Platform: Android phone support,Google's Android is a very capable platform.  I wonder if a Unity player could be done in native code and preserve the means to offe... ,"Jul 08, 2009",694,Completed,https://feedback.unity3d.com/suggestions/platform-android-phone-support
Editor: Visual Logic Editor,"I saw a post about visual GUI editor and shader editor. They are all nice but missing one important visual editor, it's visual logic... ","May 21, 2009",680,Under review,https://feedback.unity3d.com/suggestions/editor-visual-logic-editor
.NET Standard Compatibility,".NET Standard is an effort to streamline the API of all .NET platforms.

The concept is to provide a .NET Standard Library to .NET... ","Sep 26, 2016",679,,https://feedback.unity3d.com/suggestions/dot-net-standard-compatibility
Support for PNG and JPG Texture file formats,Ability to use PNG and JPG compression as input setting for textures. I know that DXTs/PVRTCs are better and easier to use for GPUs ... ,"Feb 06, 2011",672,,https://feedback.unity3d.com/suggestions/png-and-jpg-texture-format
Licensing: VCS Support for Everyone,"I am not a professional Game Developer, so I can't spend 1000$ on a tool like Unity Pro, but I am a professional Programmer, not bei... ","Mar 17, 2010",648,Completed,https://feedback.unity3d.com/suggestions/licensing-vcs-support-for-every
Ditch Mono and Implement Original .NET,"Recent developments in Microsoft have open-sourced the entire .NET Framework and Core libraries, making Xamarin's .NET hack Mono obs... ","Jan 12, 2015",612,,https://feedback.unity3d.com/suggestions/ditch-mono-and-implement-original-net
Everyplay and GameAds for Windows Phone and Windows Store,As we already know Unity has acquired Applifier in order to integrate Everyplay and GameAds services into Unity. Currently this is i... ,"Sep 01, 2014",602,,https://feedback.unity3d.com/suggestions/everyplay-and-gameads-for-windows-phone-and-windows-store
Native Stereoscopic 3D Rendering,"I think a very good idea for the engine would be native steroscopic 3d rendering. (AKA all work is done in engine, not by 3d driver.... ","May 20, 2010",601,Completed,https://feedback.unity3d.com/suggestions/native-stereoscopic-3d-rendering
Networking: VoIP support (e.g. RakVoice),RakVoice or some other in-game voice over network capability. ,"Apr 17, 2009",600,,https://feedback.unity3d.com/suggestions/networking-voip-support-eg-r
Multi core / multi thread physics,"Virtually every recently manufactured computer has at least 2 cores, yet Unity only uses one of them.  Even relatively simple physic... ","Mar 17, 2011",596,Completed,https://feedback.unity3d.com/suggestions/multi-core--multi-thread-physic
Scripting: Ruby language support,"Ruby scripting support in Unity for those who appreciate an elegant high level language. Beside of C#, Unity lacks an easy and reaso... ","Apr 16, 2009",592,,https://feedback.unity3d.com/suggestions/scripting-ruby-language-support
Retina for OS X Standalone Builds,"I would like Mac OS X Standalone builds to be rendered in retina resolution, especially in windowed and fullscreen mode. Currently t... ","Oct 16, 2015",557,Completed,https://feedback.unity3d.com/suggestions/retina-for-os-x-standalone-builds
git-lfs (large file support) for unity cloud build,"Github is rolling out the git-lfs extension, which allows you to stash big binary files outside the git repository, but still keep t... ","Aug 10, 2015",556,Completed,https://feedback.unity3d.com/suggestions/git-lfs-large-file-support-for-unity-cloud-build
Granular(IOS-like) license for Oculus Rift development,Unity is a great engine.  But many hobbyists can't afford Pro.  Hobbyist backers of Rift will find themselves unable to develop for ... ,"Mar 23, 2013",553,Completed,https://feedback.unity3d.com/suggestions/granularioslike-license-for-o
Editor: allow multiple tags on object (bitfield?),"The current object tag system is very useful, but incredibly restrictive at the same time.  You cannot have an object satisfy multip... ","May 18, 2009",550,,https://feedback.unity3d.com/suggestions/editor-allow-multiple-tags-on-o
Virtual Reality Advertisements,Currently there are not many ways to monetize mobile vr games. It would be great if Unity provided virtual reality advertisements. T... ,"Oct 27, 2015",545,,https://feedback.unity3d.com/suggestions/virtual-reality-advertisements
Unity Ads for WebGL / PC / Mac,I'd like to make some ad-supported games on non-mobile.  ,"Jul 30, 2015",529,,https://feedback.unity3d.com/suggestions/unity-ads-for-webgl-slash-pc-slash-mac
Double precision for Worldspace and Objects and Vector / Math 64bit,"Double precision should be the next step for larger terrain, maps, world object positioning. For sure the Vector-double and Math-dou... ","Jun 01, 2015",518,,https://feedback.unity3d.com/suggestions/double-precision-for-worldspace-and-objects-and-vector-slash-math-64bit
Instant Animation State Transition,Making an instant transition in the Mecanim state machine from one state to another state is crucial for sprite animation that doesn... ,"Jan 24, 2014",516,Completed,https://feedback.unity3d.com/suggestions/instant-animation-state-transition
Using NavMeshAgents sizes for pathfinding,NavMeshAgents should use their radius variable for pathfinding. This parameter is used right now only for avoiding other NavMeshAgen... ,"Apr 18, 2013",512,Started,https://feedback.unity3d.com/suggestions/using-navmeshagents-sizes-for-pa
Include Temporal Anti-Aliasing in Unity (TXAA),"As we approach more realistic graphics, aliasing is becoming more of a hindrance in conveying said realism.

This computer generat... ","May 21, 2014",507,Completed,https://feedback.unity3d.com/suggestions/include-temporal-anti-aliasing-in-unity-txaa
Node-based material editor,Unity needs a node-based material editor to allow artists to customize material properties and channel inputs. This should include c... ,"Jun 25, 2015",495,,https://feedback.unity3d.com/suggestions/node-based-material-editor
Video: seek / scrub in movie textures,How about the ability to advance a movie texture frame by frame/jump to any frame? ,"Aug 07, 2009",495,Started,https://feedback.unity3d.com/suggestions/video-seek--scrub-in-movie-tex
Expose unit test coverage information in Unity Test Tools.,"Currently, there's no way to calculate unit test coverage for tests with Unity Engine or Editor dependencies on OSX. It'd be really ... ","Jan 05, 2016",490,,https://feedback.unity3d.com/suggestions/expose-unit-test-coverage-information-in-unity-test-tools
Remove new 4.0 EULA Restrictions,"As outlined in this thread:

http://forum.unity3d.com/threads/161689-Unity4-Class-Warfare-New-EULA-restrictions

Unity has appears t... ","Dec 08, 2012",482,,https://feedback.unity3d.com/suggestions/remove-new-40-eula-restrictions
Add Android M (6.0) Permission Model Support,"In Android M and API 23, Google introduced a new permission model. The permission might not be granted on installation now and the A... ","Oct 12, 2015",481,,https://feedback.unity3d.com/suggestions/add-android-m-6-dot-0-permission-model-support
Linear Space Lighting support on mobile platforms,"Linear graphics pipeline is *essential* for rendering realistic lighting. 

As mobile devices are becoming more and more powerful,... ","Jun 24, 2015",477,Completed,https://feedback.unity3d.com/suggestions/linear-space-lighting-support-on-mobile-platforms
High DPI support on Windows,"I use Unity on a Microsoft Surface Pro 4 which has a resolution of 2736 x 1824, and everything is soooo small. I can turn on DPI sca... ","Jul 11, 2016",465,,https://feedback.unity3d.com/suggestions/high-dpi-support-on-windows
Support conversion of JSON string into a Dictionary,"The new JsonUtility introduced in Unity 5.3 is a much awaited feature. Not having to roll our own JSON parsing/encoding libraries, o... ","Dec 09, 2015",462,,https://feedback.unity3d.com/suggestions/support-conversion-of-json-string-into-a-dictionary
More REST API friendly WWW class,"In order to make Unity's WWW http request class a bit more friendly to RESTful web services, it would be great to have access to mor... ","Jan 22, 2011",459,Completed,https://feedback.unity3d.com/suggestions/more-rest-api-friendly-www-class
iOS arm64,Support building iOS targets with the faster arm64 architecture found in the current line-up of Apple devices (as of 7/18/2014): iPh... ,"Jul 19, 2014",458,Completed,https://feedback.unity3d.com/suggestions/ios-arm64
Windows Standalone with Scripting Backend IL2CPP,"was wondering why this isn't anywhere on the road map, not even in research or development

IL2CPP for Windows Store is only on Wi... ","Feb 25, 2016",456,,https://feedback.unity3d.com/suggestions/windows-standalone-with-scripting-backend-il2cpp
Global Illumination: Distributed LAN lighting builds,Polish the Hackweek X project on distributing lighting builds (precompute/baking) across machines on a LAN. The aim is to make a sys... ,"Jun 29, 2015",455,,https://feedback.unity3d.com/suggestions/global-illumination-distributed-lan-lighting-builds
Search through Console Log Messages in Console Window,"Ability to Ctrl + F and search through your console log messages right from the Console Window in the Unity Editor.

Some Find Next ... ","Apr 14, 2013",448,,https://feedback.unity3d.com/suggestions/search-through-console-log-messa
C# 6.0 Support to Unity,"C# 6.0 Support to Unity

For more info:
https://developer.xamarin.com/guides/cross-platform/advanced/csharp_six/ ","Feb 10, 2016",446,Started,https://feedback.unity3d.com/suggestions/c-number-6-dot-0-support-to-unity
monospaced font in the console,My tabular debug output is impossible to read! Please allow the use of a monospaced font in the console. ,"Mar 31, 2011",445,,https://feedback.unity3d.com/suggestions/monospaced-font-in-the-console
Gift certificates for Asset Store,"My family has asked what I'd like for Christmas, birthday, etc, and the answer is always ""More Unity Assets!""  But right now they ca... ","Dec 11, 2013",440,Planned,https://feedback.unity3d.com/suggestions/gift-certificates-for-asset-store
Set position of loading indicator,"Is it possible to add support for positioning, or at least centering, the loading indicator? This was asked in the forums too, but t... ","May 28, 2013",434,,https://feedback.unity3d.com/suggestions/set-position-of-loading-indicato
"Graphics: native, fast Sprite Manager","With editor support, so we don't have to do everything in code. ","Apr 16, 2009",433,Completed,https://feedback.unity3d.com/suggestions/graphics-native-fast-sprite-ma
PLatform dependent StreamingAssets folders,"It's not uncommon to have different versions of streaming assets for different platforms. Unfortunately, anything placed in the Stre... ","Apr 16, 2014",432,,https://feedback.unity3d.com/suggestions/platform-dependent-streamingassets-folders
[4.6 - UI] Combobox and/or Dropdownbox,"Currently in 4.6 there is no option for a combo box or dropdown box. 

For options and such this UI element is a must. Please can ... ","Sep 16, 2014",429,Completed,https://feedback.unity3d.com/suggestions/4-dot-6-ui-combobox-and-slash-or-dropdownbox
Add support for ART Runtime on Android,"Though it's an experimental feature on KitKat, we've found that a fair number of users are using the ART runtime on their devices.  ... ","Mar 12, 2014",422,Completed,https://feedback.unity3d.com/suggestions/add-support-for-art-runtime-on-android
Graphics: Anti-Aliased Render Texture support,Add support for anti-aliased render textures ,"Apr 15, 2009",408,Completed,https://feedback.unity3d.com/suggestions/graphics-antialiased-render-te
Option to disable autoincrement / adding a name suffix on Duplicate,"On Unity 5, when duplicating a gameobject, a number suffix is added to the gameobject name.

Names are commonly used for many thin... ","Mar 17, 2015",405,,https://feedback.unity3d.com/suggestions/option-to-disable-autoincrement-slash-adding-a-name-suffix-on-duplicate
Audio: basic sequencer API to make music games possible,Low level support for rock solid musical timing would make music games possible in Unity. ,"Apr 16, 2009",403,,https://feedback.unity3d.com/suggestions/audio-basic-sequencer-api-to-ma
Addition Of New Script (VB.Net),"VB.Net is the one of the most popular and easy language.
I am also a VB.Net programmer but I cannot use scripts in my game.
VB.Net c... ","Jun 06, 2013",401,,https://feedback.unity3d.com/suggestions/addition-of-new-script-vbnet
Update to lastest version of PhysX (currently 3.3),According to this forum topic: http://forum.unity3d.com/threads/188737-PhysX-3-x-considerably-faster the latest version of PhysX is ... ,"Jul 03, 2013",391,Completed,https://feedback.unity3d.com/suggestions/update-to-lastest-version-of-phy
Voxel Cone Traced Lighting,This feature would enable Unity to display realtime global illumination. Right now it is only possible to bake this kind of light in... ,"Jan 21, 2013",389,,https://feedback.unity3d.com/suggestions/voxel-cone-traced-lighting
Scripting: C#: expose properties to editor,"C# programmers will love it :)

Today, public variables are exposed to editor, like this:
   public float SomeVariable;

Howeve... ","Jul 30, 2009",389,Declined,https://feedback.unity3d.com/suggestions/scripting-c-expose-properties
Offer C++ scripting on all platforms,"I know there is a plan to offer C++ scripting on iPhone, but I would appreciate it if it was available on all platforms.  As an educ... ","Aug 13, 2010",385,,https://feedback.unity3d.com/suggestions/offer-c-scripting-on-all-platf
Physics: Upgrade PhysX,"Upgrade to the current release of PhysX and expose currently missing features like cloth, particles and softbodies. ","Apr 15, 2009",385,Completed,https://feedback.unity3d.com/suggestions/physics-upgrade-physx
Make ScriptInspector the default Unity code editor,"Unity should acquire Flipbook Games' ScriptInspector and make it the default code editor option for Unity, with Visual Studio and Mo... ","Sep 02, 2016",383,,https://feedback.unity3d.com/suggestions/make-scriptinspector-the-default-unity-code-editor
9-slice and 3-slice attribute on 2D Sprites,"Currently the nine sliced attribute only works with GUI sprites.
Would be nice to have a 9-slice and 3-slice also for 2D sprites.
... ","Apr 28, 2014",378,Under review,https://feedback.unity3d.com/suggestions/9-slice-and-3-slice-attribute-on-2d-sprites
Remove global limit on number of shader keywords,"There currently exists a global limit on the number of keywords that can be used in shaders (64 in unity4, 128 in unity5).

Keywor... ","Dec 18, 2014",375,Planned,https://feedback.unity3d.com/suggestions/remove-global-limit-on-number-of-shader-keywords
Particle Effects On Overlay Canvas,"Hello!

I have a lot of particles that are currently in my 2D game, and i'm using the new Canvas to facilitate all my UI needs. Th... ","Nov 13, 2014",364,,https://feedback.unity3d.com/suggestions/particle-effects-on-overlay-canvas
Baking lightmaps with the CUDA,"As you know, the baking ""unity job process"" uses CPU to render baking..
I think, that it's big fail, because of wasting time. 
A l... ","Jun 17, 2016",362,,https://feedback.unity3d.com/suggestions/baking-lightmaps-with-the-cuda
Scripting: Upgrade Mono to 2.6,Right now Unity uses really old Mono version. Upgrade to 2.6 already! ,"Apr 08, 2009",362,Completed,https://feedback.unity3d.com/suggestions/scripting-upgrade-mono-to-26
C# 5.0 with async/await support to Unity,As Title says add need C# 5.0 support to Unity ,"Sep 25, 2013",354,Started,https://feedback.unity3d.com/suggestions/c-50-with-asyncawait-support-
New Build-Target: Windows 8 Metro,As discussed in http://forum.unity3d.com/threads/104924-Windows-8-and-Tileable-games having a Windows 8 Metro build target that does... ,"Sep 23, 2011",353,Completed,https://feedback.unity3d.com/suggestions/new-buildtarget-windows-8-metr
Ability to edit object hierarchy in animation clip,"The dope sheet should have a functionality that would let you change the paths of animated objects, so if you animate ""Parts/Wheel"" ... ","Jul 09, 2014",352,Planned,https://feedback.unity3d.com/suggestions/ability-to-edit-object-hierarchy-in-animation-clip
Cocoapod Support (Dependency Management),"Please include support for Cocoapods.

Dependancy management is a must-have for any 3rd party libraries.

For example:
Utilziin... ","Jan 08, 2016",350,,https://feedback.unity3d.com/suggestions/cocoapod-support-dependency-management
Built-in Tilemap editor,"I would like to see a built-in tilemap editor for creating 2D levels.
This would make for easier management of level-building, redu... ","Aug 08, 2014",343,Started,https://feedback.unity3d.com/suggestions/built-in-tilemap-editor
Editor: Unity AI support.,"Unity 3 should officially support an AI system. As any other major commercial (even indie engines) already support it. Stuff like, F... ","Mar 17, 2010",343,Completed,https://feedback.unity3d.com/suggestions/editor-unity-ai-support
Increase the quality of Unity trees billboards.,Currently the Unity trees billboards resolution is related to the number of Unity Tree that you are using on a terrain. When you are... ,"May 19, 2017",342,,https://feedback.unity3d.com/suggestions/increase-the-quality-of-unity-trees-billboards
Unity certification,I think the usage of Unity3d exapanded significantly these last few years and it's time to bring Unity certifications into existance... ,"Jan 24, 2014",340,Completed,https://feedback.unity3d.com/suggestions/unity-certification
