title,start_date,votes,replies,url
AnimationEvent has no function name specified,"Oct 29, 2017 2:37:33 PM",20,2,https://answers.unity3d.com/questions/582229/animationevent-has-no-function-name-specified-1.html
"OnEnable, Awake, Start order","Apr 28, 2016 4:19:57 PM",20,7,https://answers.unity3d.com/questions/217941/onenable-awake-start-order.html
3.x Licensing & Activation FAQ,"Mar 22, 2015 11:08:06 PM",20,6,https://answers.unity3d.com/questions/47012/licensing-activation-faq.html
Which Unity project files can be ignored for version control?,"Aug 28, 2017 6:27:53 PM",20,6,https://answers.unity3d.com/questions/22604/which-unity-project-files-can-be-ignored-for-versi.html
"Why build a web game using Unity, rather than Flash, Shockwave, or some other web player plug-in?","Jan 25, 2010 8:55:45 PM",20,6,https://answers.unity3d.com/questions/10608/why-build-a-web-game-using-unity-rather-than-flash.html
[4.6 b20] How to make a hold button for the new UI,"Oct 9, 2017 8:02:02 PM",19,4,https://answers.unity3d.com/questions/821176/46-b20-how-to-make-a-hold-button-for-the-new-ui.html
Open SSL not found,"Oct 31, 2017 6:40:36 AM",19,7,https://answers.unity3d.com/questions/616484/open-ssl-not-found.html
Material Versus Shared Material,"Feb 20, 2014 2:48:13 PM",19,2,https://answers.unity3d.com/questions/228744/material-versus-shared-material.html
How do UVs work?,"Jun 16, 2016 12:01:08 AM",19,1,https://answers.unity3d.com/questions/154324/how-do-uvs-work.html
CodePage 1252 not supported - works in editor but not in standalone player,"Oct 11, 2017 3:20:44 PM",19,7,https://answers.unity3d.com/questions/42955/codepage-1252-not-supported-works-in-editor-but-no.html
Is it possible to have multiple tags (or the like) on one object?,"Oct 12, 2017 4:23:06 PM",19,8,https://answers.unity3d.com/questions/21664/is-it-possible-to-have-multiple-tags-or-the-like-o.html
Making textures Scroll/ animate textures,"Aug 4, 2017 5:13:54 PM",19,4,https://answers.unity3d.com/questions/19848/making-textures-scroll-animate-textures.html
Get list of all files in a directory?,"Jan 15, 2017 1:39:47 PM",19,3,https://answers.unity3d.com/questions/16433/get-list-of-all-files-in-a-directory.html
"Guidelines for using rigidbody, collider, CharacterControllerScript, etc?","Aug 18, 2015 9:13:38 PM",19,4,https://answers.unity3d.com/questions/7671/guidelines-for-using-rigidbody-collider-characterc.html
What replaces the Glow Effect in Unity 5!?,"Oct 15, 2017 12:27:57 AM",18,1,https://answers.unity3d.com/questions/914945/what-replaces-the-glow-effect-in-unity-5.html
Xcode Simulator doesn't work with Unity build,"Oct 4, 2017 11:51:33 PM",18,2,https://answers.unity3d.com/questions/385202/xcode-simulator-doesnt-work-with-unity-build.html
Asset Serialization: Mixed vs Force Text,"Jan 18, 2016 7:33:10 PM",18,3,https://answers.unity3d.com/questions/222281/asset-serialization-mixed-vs-force-text.html
"How can we, as users, improve Unity Answers? (post-transition edition)","Jul 29, 2011 12:45:16 AM",18,8,https://answers.unity3d.com/questions/128895/how-can-we-as-users-improve-unity-answers-post-tra.html
How can I pass data between two levels?,"Jan 7, 2017 8:54:23 PM",18,8,https://answers.unity3d.com/questions/36738/how-can-i-pass-data-between-two-levels.html
Unity Design Patterns,"Dec 24, 2016 8:13:13 AM",18,6,https://answers.unity3d.com/questions/31050/unity-design-patterns.html
Efficiently capturing rendered images?,"Dec 4, 2012 10:32:31 PM",18,3,https://answers.unity3d.com/questions/20626/efficiently-capturing-rendered-images.html
Get the currently open scene name or file name,"Sep 15, 2017 6:35:24 PM",18,8,https://answers.unity3d.com/questions/14637/get-the-currently-open-scene-name-or-file-name.html
What is Mono? Is it a compiler? A language? Or what?,"Oct 3, 2017 9:42:49 AM",18,3,https://answers.unity3d.com/questions/8555/what-is-mono-is-it-a-compiler-a-language-or-what.html
Adding decals to a object,"Oct 3, 2016 11:05:08 PM",18,-2,https://answers.unity3d.com/questions/8494/adding-decals-to-a-object.html
How to make a split-screen? (2 cameras rendering at same time),"Jul 20, 2011 10:44:09 PM",18,4,https://answers.unity3d.com/questions/8202/how-to-make-a-split-screen-2-cameras-rendering-at.html
Unity 4.6 UI button highlight color staying after button clicked,"Jul 28, 2017 7:47:24 AM",17,8,https://answers.unity3d.com/questions/854724/unity-46-ui-button-highlight-color-staying-after-b.html
Dictionary in inspector,"May 14, 2017 9:32:13 PM",17,4,https://answers.unity3d.com/questions/642431/dictionary-in-inspector.html
Particle System rendering behind Sprites,"Apr 16, 2017 8:46:16 AM",17,13,https://answers.unity3d.com/questions/577288/particle-system-rendering-behind-sprites.html
Collision misses - possibly not bullet through paper! (now with video),"May 21, 2013 8:01:07 PM",17,1,https://answers.unity3d.com/questions/263417/collision-misses-possibly-not-bullet-through-paper.html
Threading in Unity,"May 11, 2016 9:29:04 PM",17,6,https://answers.unity3d.com/questions/180243/threading-in-unity.html
Checklist: Object or Character is falling through the floor,"Jan 21, 2017 9:16:07 AM",17,11,https://answers.unity3d.com/questions/147687/checklist-object-or-character-is-falling-through-t.html
Are we being too generous?,"Jan 12, 2012 1:26:12 AM",17,9,https://answers.unity3d.com/questions/144133/are-we-being-too-generous.html
Transitions between changing scenes,"Jul 30, 2017 3:35:05 PM",17,5,https://answers.unity3d.com/questions/119918/transitions-between-changing-scenes.html
way to get all object with a certain component/script attached,"Apr 12, 2017 8:16:03 AM",17,3,https://answers.unity3d.com/questions/46283/way-to-get-all-object-with-a-certain-componentscri.html
Allowing player to swim or dive in water?,"Apr 15, 2016 2:37:09 PM",17,5,https://answers.unity3d.com/questions/31734/allowing-player-to-swim-or-dive-in-water.html
How do I write to the console?,"Sep 12, 2015 7:12:55 PM",17,3,https://answers.unity3d.com/questions/25269/how-do-i-write-to-the-console.html
Can Visual Studio be used as a debugger for Unity?,"Mar 29, 2016 12:04:12 PM",17,12,https://answers.unity3d.com/questions/24990/can-visual-studio-be-used-as-a-debugger-for-unity.html
How do I make a moving skybox?,"Oct 3, 2017 10:56:26 PM",17,7,https://answers.unity3d.com/questions/21515/how-do-i-make-a-moving-skybox.html
How many polygons is too much?,"Apr 7, 2015 6:07:11 PM",17,5,https://answers.unity3d.com/questions/19379/how-many-polygons-is-too-much.html
What are all the special folders and what do they do?,"Nov 20, 2014 7:51:08 PM",17,6,https://answers.unity3d.com/questions/18981/what-are-all-the-special-folders-and-what-do-they.html
How do I expose class properties (not fields) in C#?,"Jun 14, 2017 2:39:39 PM",17,4,https://answers.unity3d.com/questions/14985/how-do-i-expose-class-properties-not-fields-in-c.html
can someone explain how using Time.deltaTime as 't' in a lerp actually works?,"Apr 19, 2015 5:40:10 PM",17,3,https://answers.unity3d.com/questions/14288/can-someone-explain-how-using-timedeltatime-as-t-i.html
Calculate distance between two objects,"Sep 12, 2017 1:26:44 PM",17,5,https://answers.unity3d.com/questions/13364/calculate-distance-between-two-objects.html
Debugging Unity3D player crashes?,"Jan 29, 2015 2:43:03 PM",17,2,https://answers.unity3d.com/questions/12460/debugging-unity3d-player-crashes.html
How to do inverse kinematics (IK) in Unity?,"Feb 28, 2015 2:47:24 PM",17,5,https://answers.unity3d.com/questions/11106/how-to-do-inverse-kinematics-ik-in-unity.html
When should i use static functions?,"May 17, 2017 7:24:53 AM",17,2,https://answers.unity3d.com/questions/9372/when-should-i-use-static-functions.html
Version control workflow,"May 20, 2015 11:10:52 AM",17,9,https://answers.unity3d.com/questions/8740/version-control-workflow.html
Is the Unity API threadsafe?,"Jan 3, 2013 1:55:50 PM",17,2,https://answers.unity3d.com/questions/7524/is-the-unity-api-threadsafe.html
Spammed with a Null Reference exception in Animator,"Sep 29, 2015 8:01:59 PM",16,5,https://answers.unity3d.com/questions/922534/spammed-with-a-null-reference-exception-in-animato.html
What are the c# error messages?,"Apr 25, 2016 7:36:37 PM",16,1,https://answers.unity3d.com/questions/723845/what-are-the-c-error-messages.html
MonoDevelop 4.0.1 Copy / Paste Issue,"Oct 30, 2017 5:43:32 PM",16,10,https://answers.unity3d.com/questions/585997/monodevelop-401-copy-paste-issue.html
Renaming the entire project... How to?,"Jan 21, 2017 6:02:17 PM",16,3,https://answers.unity3d.com/questions/261558/renaming-the-entire-project-how-to.html
Can someone please label the Search box? [Yay! thanks],"Jul 11, 2014 9:28:33 PM",16,1,https://answers.unity3d.com/questions/142241/can-someone-please-label-the-search-box.html
[META] Karma: Why & What?,"Apr 3, 2015 11:10:43 AM",16,5,https://answers.unity3d.com/questions/132777/karma-why-amp-what.html
How do I find all game objects with the same name?,"Jan 31, 2017 6:06:57 AM",16,7,https://answers.unity3d.com/questions/24257/how-do-i-find-all-game-objects-with-the-same-name.html
Keyboard shortcut to pause game view play?,"Feb 25, 2014 3:06:08 PM",16,2,https://answers.unity3d.com/questions/19493/keyboard-shortcut-to-pause-game-view-play.html
"How can I send and receive data to and from a URL, i.e. server side scripts, web services, etc?","Dec 14, 2016 1:04:40 AM",16,2,https://answers.unity3d.com/questions/11021/how-can-i-send-and-receive-data-to-and-from-a-url.html
How can I monetise a casual game made with Unity ?,"Jan 24, 2015 3:35:57 PM",16,9,https://answers.unity3d.com/questions/9236/how-can-i-monetise-a-casual-game-made-with-unity-.html
Where can I find art/models/assets for my games?,"Dec 3, 2014 9:31:18 PM",16,17,https://answers.unity3d.com/questions/8022/where-can-i-find-artmodelsassets-for-my-games.html
"What does the ""compute mesh inertia tensor failed"" error mean?","Aug 2, 2014 11:28:13 PM",16,6,https://answers.unity3d.com/questions/7841/what-does-the-compute-mesh-inertia-tensor-failed-e.html
Set Unity 5 cloth constraints from code?,"Jul 5, 2016 5:52:22 PM",15,2,https://answers.unity3d.com/questions/966554/set-unity-5-cloth-constraints-from-code.html
Place camera on scene with current view position and rotation.,"Feb 27, 2017 6:40:47 AM",15,2,https://answers.unity3d.com/questions/627219/how-to-place-camera-on-scene-at-editor-view.html
How to make a instant transition with Mecanim?,"Jul 14, 2017 5:26:29 PM",15,14,https://answers.unity3d.com/questions/355576/how-to-make-a-instant-transition-with-mecanim.html
Is there a HideFlags.DontSave equivalent for preventing child objects from being applied to a prefab?,"Jan 18, 2016 2:25:55 AM",15,0,https://answers.unity3d.com/questions/225304/is-there-a-hideflagsdontsave-equivalent-for-preven.html
The (ab)normal mistery,"Jul 14, 2011 12:46:40 PM",15,1,https://answers.unity3d.com/questions/126005/the-abnormal-mistery.html
Inheriting from a class that inherits from monobehaviour,"Nov 1, 2017 2:51:43 PM",15,4,https://answers.unity3d.com/questions/119516/inheriting-from-a-class-that-inherits-from-monobeh.html
"Since we have such a small community, maybe we should vote up more!","Mar 28, 2011 11:56:05 PM",15,2,https://answers.unity3d.com/questions/54993/since-we-have-such-a-small-community-maybe-we-shou.html
Why on earth can I not just get and set the Matrix4x4 of a Transform?!?,"Jul 6, 2014 12:03:44 PM",15,1,https://answers.unity3d.com/questions/24664/why-on-earth-can-i-not-just-get-and-set-the-matrix.html
Is it possible to show Static Variables in the Inspector?,"May 5, 2017 1:24:44 PM",15,8,https://answers.unity3d.com/questions/24289/is-it-possible-to-show-static-variables-in-the-ins.html
Find Size of GameObject,"Apr 26, 2017 1:48:52 AM",15,4,https://answers.unity3d.com/questions/24012/find-size-of-gameobject.html
Disable warning messages,"Oct 13, 2017 6:04:59 PM",15,5,https://answers.unity3d.com/questions/21796/disable-warning-messages.html
"Field of view, using raycasting","Apr 3, 2017 1:44:21 AM",15,4,https://answers.unity3d.com/questions/15735/field-of-view-using-raycasting.html
Can I access Java code from Unity?,"Oct 22, 2014 12:55:33 PM",15,2,https://answers.unity3d.com/questions/15308/can-i-access-java-code-from-unity.html
Prefabs Workflow - Changing models in a 3D app after they have been used in a prefab,"Jun 24, 2016 5:06:54 AM",15,9,https://answers.unity3d.com/questions/15271/prefabs-workflow-changing-models-in-a-3d-app-after.html
How to automatically apply different textures on terrain based on height?,"Feb 21, 2016 1:07:40 AM",15,5,https://answers.unity3d.com/questions/12835/how-to-automatically-apply-different-textures-on-t.html
How can I access other scripts and their functions?,"Jan 14, 2015 8:36:18 AM",15,2,https://answers.unity3d.com/questions/10857/how-can-i-access-other-scripts-and-their-functions.html
Right mouse button in webplayer,"Dec 2, 2009 2:24:24 PM",15,3,https://answers.unity3d.com/questions/8545/right-mouse-button-in-webplayer.html
How do I iterate over all scene objects from an editor script?,"Aug 25, 2017 6:38:02 PM",15,4,https://answers.unity3d.com/questions/7615/how-do-i-iterate-over-all-scene-objects-from-an-ed.html
License Problem,"Sep 19, 2016 6:21:24 PM",14,3,https://answers.unity3d.com/questions/1245326/license-problem.html
Unity 5.3 How to load current level,"Apr 28, 2017 12:13:53 AM",14,3,https://answers.unity3d.com/questions/1109497/unity-53-how-to-load-current-level.html
Unity 5: Standard Assets are missing,"Oct 24, 2017 6:55:47 PM",14,3,https://answers.unity3d.com/questions/917023/unity-5-standard-assets-are-missing.html
Serial key before my game starts,"Jun 2, 2014 6:45:10 AM",14,1,https://answers.unity3d.com/questions/716341/serial-key-before-my-game-starts.html
How can I Find All References to an object in the inspector?,"Oct 31, 2017 7:35:43 PM",14,6,https://answers.unity3d.com/questions/648164/how-can-i-find-all-references-to-an-object-in-the.html
Building Error: Not a file ?,"Oct 31, 2017 4:16:38 AM",14,9,https://answers.unity3d.com/questions/621759/building-error-not-a-file-.html
Draw grid lines in game view?,"Jul 20, 2017 2:30:09 PM",14,8,https://answers.unity3d.com/questions/482128/draw-grid-lines-in-game-view.html
Editor script to make Play button always jump to a start scene,"Oct 16, 2017 9:01:05 PM",14,7,https://answers.unity3d.com/questions/441246/editor-script-to-make-play-always-jump-to-a-start.html
Showing a textarea field for a string variable in inspector?,"Sep 5, 2017 8:30:19 AM",14,4,https://answers.unity3d.com/questions/424874/showing-a-textarea-field-for-a-string-variable-in.html
Use of asset store assets in commercial game.,"Oct 20, 2017 8:53:10 PM",14,8,https://answers.unity3d.com/questions/342714/use-of-asset-store-assests-in-commercial-game.html
How the heck does Mathf.Lerp work?,"Aug 21, 2016 9:09:40 PM",14,2,https://answers.unity3d.com/questions/237294/how-the-heck-does-mathflerp-work.html
Why is the motion jerky in a simple 2D game?,"Oct 9, 2017 10:04:34 AM",14,12,https://answers.unity3d.com/questions/228095/why-is-the-motion-jerky-in-a-simple-2d-game.html
Can CoRoutines return a value?,"Nov 10, 2016 7:38:33 AM",14,10,https://answers.unity3d.com/questions/207733/can-coroutines-return-a-value.html
how do i check if my rigidbody player is grounded?,"Aug 27, 2017 12:44:40 AM",14,7,https://answers.unity3d.com/questions/196381/how-do-i-check-if-my-rigidbody-player-is-grounded.html
[Tutorial] Minecraft Chunks,"May 30, 2017 7:41:48 AM",14,2,https://answers.unity3d.com/questions/177931/tutorial-minecraft-chunks.html
Android: Bundle identifier has not been setup.,"Aug 19, 2017 10:11:53 AM",14,5,https://answers.unity3d.com/questions/162141/android-bundle-identifier-has-not-been-setup.html
Editor: multiple Inspectors,"Aug 12, 2017 8:39:25 PM",14,3,https://answers.unity3d.com/questions/36131/editor-multiple-inspectors.html
Lightmap with bump/specular problem Unity 3 Pro,"Nov 17, 2010 1:52:34 PM",14,2,https://answers.unity3d.com/questions/34353/lightmap-with-bumpspecular-problem-unity-3-pro.html
iPhone In App Purchase tutorial,"Nov 24, 2015 8:42:08 PM",14,4,https://answers.unity3d.com/questions/17180/iphone-in-app-purchase-tutorial.html
