title,excerpt,start_date,votes,status,url
[UIProfiler]Time ms increases for Profiler.FinalizeAndSendFrame when the...,"To reproduce:

1. Create a new project
2. Add many different UI game objects
3. Enter Play mode
4. Open Profiler
5. Wait for a few m... ","Jun 23, 2017",49,Fixed,https://issuetracker.unity3d.com/issues/time-ms-increases-for-profiler-dot-finalizeandsendframe-each-time-the-profiler-is-closed-and-opened
[iOS][ReplayKit] Recording with ReplayKit fails on iOS 11 latest beta ,"Steps to reproduce:

1. Open attached project
2. Build 'Test' scene for iOS
3. Run on a device with latest iOS 11 beta (15A5341f)
4.... ","Aug 10, 2017",19,Active,https://issuetracker.unity3d.com/issues/ios-replaykit-recording-with-replaykit-fails-on-ios-11-latest-beta
[ARKit] ReplayKit 'Save' button does not work on ~1minute+ videos,"Reproduction steps:
1. Open the attached project.
2. Build it to iOS 11 device.
3. Click Start Recording.
4. Wait a minute.
5. Click... ","Aug 04, 2017",18,Active,https://issuetracker.unity3d.com/issues/arkit-replaykit-save-button-does-not-work-on-~1minute-plus-videos
[Shuriken] WaitForJobGroup causes huge FPS drop after upgrading from 5.6...,"How to reproduce:
1. Download attached project file
2. Play the ""Particles"" scene

Expected result: Particles system works fine with... ","Jul 14, 2017",24,Fixed,https://issuetracker.unity3d.com/issues/shuriken-particle-system-waitforjobgroup-cause-huge-fps-drop-after-upgrading-from-5-dot-6-to-2017-dot-1
"""In order to call GetTransformInfoExpectUpToDate..."" error message appea...","How to reproduce:
1.  Create a new project
2.  Change ""Directional Light"" type from Directional to Spot, make sure that it's Shadow ... ","Apr 06, 2017",131,Fixed,https://issuetracker.unity3d.com/issues/in-order-to-call-gettransforminfoexpectuptodate-dot-dot-dot-error-message-appears-while-toggling-skinned-mesh-renderer-component
[PLM] Some baked lights are ignored when lighting is generated with 30+ ...,"Steps to reproduce:
1. Open attached project (ProgressiveLightmapperIssue)
2. Go to lighting
3. Select Generate Lighting

Expected r... ","Jun 19, 2017",29,Fixed,https://issuetracker.unity3d.com/issues/progressive-lightmapper-ignoring-lights-in-a-larger-scene
VideoPlayer.Play() still has a delay after using VideoPlayer.Prepare(),"Steps to reproduce:
1. Download and open the attached project
2. Enter Play mode

Expected result: videos are played seamlessly due ... ","May 09, 2017",58,Fixed,https://issuetracker.unity3d.com/issues/videoplayer-dot-play-still-has-a-delay-after-using-videoplayer-dot-prepare
Unity Microphone does not work with Razer Kraken 7.1 Chroma headsets whi...,"To reproduce:
1) Have the Razer Synapse installed and the Razer Kraken 7.1 Chroma headset
2) Open attached project and scene in it
3... ","Aug 30, 2017",13,Active,https://issuetracker.unity3d.com/issues/unity-microphone-does-not-work-with-razer-kraken-7-dot-1-chroma-headsets-while-razer-synapse-is-installed
"Unity becomes unusable at next launch without Internet if ""remember my c...","To reproduce:
1. Open Unity and login to your account and make sure that ""Remember my choice"" is unchecked.
2. Close Unity
3. Discon... ","Jul 20, 2017",18,Fixed,https://issuetracker.unity3d.com/issues/unity-becomes-unusable-at-next-launch-without-internet-if-remember-my-choice-was-unchecked-during-previous-login-with-internet
Unity crashes with Fatal Error: Callback registration failed kMaxCallback,"Unity crashes with a Fatal Error: ""Callback registration failed kMaxCallback"" after working with the project for 30 minutes or more.... ","Jan 23, 2017",293,Fixed,https://issuetracker.unity3d.com/issues/unity-crashes-with-fatal-error-callback-registration-failed-kmaxcallback
[macOS] Standalone build with .NET 2.0 API  throws NotSupportedException...,"Steps to reproduce:
1. Open the attached project
2. Make sure that ""Api Compatibility Level"" is set to "".NET 2.0"" under player setti... ","Aug 08, 2017",14,Fixed,https://issuetracker.unity3d.com/issues/macos-standalone-build-with-net-2-dot-0-api-throws-notsupportedexception-when-using-system-dot-net-dot-webrequest-dot-create
Custom shadows are replaced with default ones until library is rebuilt o...,"Reproduction steps:
1. Use a Mac machine that supports Metal (Not a Metal related issue).
2. Open the attached project ((NGSS PROJEC... ","May 30, 2017",27,Active,https://issuetracker.unity3d.com/issues/mobile-forward-unity-ignores-custom-directional-shadows
Enabling Mesh Renderer during rendering causes error in Console tab,"Steps to reproduce:

1) Download attached project 'MeshRendererError.zip' and open in Unity
2) Open scene 'ReproScene' and press Pla... ","Apr 03, 2017",57,Fixed,https://issuetracker.unity3d.com/issues/enabling-mesh-renderer-during-rendering-causes-error-in-console-tab
JobTempAlloc error appears in Standalone Build output log if trees are i...,"Reproduction Steps:
1. Import attached project.
2. Open Test scene.
3. Build and Run.
4. In Standalone Build Data files, open output... ","Apr 04, 2017",57,Fixed,https://issuetracker.unity3d.com/issues/jobtempalloc-error-appears-in-32-bit-standalone-build-output-log-if-trees-are-in-the-scene
[Android] Project fails to build using the updated Android SDK Tools 26....,"Reproduction steps:
1. Update Android SDK Tools to 26.0.1 or 26.0.2;
    - Android Studio -> Configure -> SDK Manager -> Android SDK... ","May 02, 2017",37,Fixed,https://issuetracker.unity3d.com/issues/the-project-does-not-build-on-android-platform-using-the-updated-android-sdk-tools-26-dot-0-during-the-merging-manifest-files
[Android] Input.gyro is extremely laggy on specific device with Android 7.0,"Steps to reproduce:

1) Download attached project 'AndroidAttitudeBug.zip'  and open in Unity
2) Build and Run 'Main' scene on a dev... ","May 19, 2017",28,Active,https://issuetracker.unity3d.com/issues/android-input-dot-gyro-is-extremely-laggy-on-specific-device-with-android-7-dot-0
Building on top of old build while its output_log.txt is open causes bui...,"Steps to reproduce:

1. Create new project
2. Build and run
3. Once resolution selection screen launches - close it
4. Navigate to _... ","May 10, 2017",29,Not Reproducible,https://issuetracker.unity3d.com/issues/building-on-top-of-old-build-while-its-output-log-dot-txt-is-open-causes-build-to-fail
"[XR][WSA] Including ""Unity C# Projects"" while building to Universal Wind...","Repro steps:

1. Open ""MR250U2017.zip"" project
2. Select ""Universal Windows Platform"" as Build target
3. Check the ""Unity C# Project... ","Jul 07, 2017",16,Duplicate,https://issuetracker.unity3d.com/issues/xr-wsa-including-unity-c-number-projects-while-building-to-universal-windows-platform-causes-builds-to-fail
GameObjects mesh is stuck at Combined Mesh (root:scene) and cannot be mo...,"1. Download attached project ""Sand_6_v2""
2. Open scene ""Scene 1""
3. Notice that it contains a lot of game objects. That's the same g... ","Mar 16, 2017",50,Fixed,https://issuetracker.unity3d.com/issues/gameobjects-mesh-is-stuck-at-combined-mesh-root-scene-and-cannot-be-moved-after-aborting-a-build-process
[Android] Location app crashes due to error 'jstring has wrong type: and...,"How to reproduce:
1. Open the attached project
2. Build and Run Test scene on Android device (it has only one line Input.location.St... ","Dec 01, 2016",234,Fixed,https://issuetracker.unity3d.com/issues/android-location-app-crashes-due-to-error-jstring-has-wrong-type-android-dot-location-dot-location
[UI] Button does not interact after nested canvas is used,"To reproduce:
1. Download attached project;
2. Open scene ""Sample 1"";
3. Enter Play mode;
4. Press on red button and notice, that it... ","Mar 19, 2017",41,Fixed,https://issuetracker.unity3d.com/issues/ui-button-does-not-interact-after-nested-canvas-is-used
Editor crashes when adding text component to game object in play mode vi...,"How to reproduce:
1. Open the attached project
2. Open and play ExampleScene
Result: Editor freezes and crashes after some time

Not... ","Feb 19, 2017",56,Fixed,https://issuetracker.unity3d.com/issues/editor-crashes-when-adding-text-component-to-game-object-in-play-mode-via-the-script
Running Unity in batchmode gives a result file with the wrong test type,"Repro Steps:

1. Open command prompt
2. Write this command: ""{UNITY_PATH}\Editor\Unity.exe"" -batchmode -runEditorTests -projectPath ... ","Mar 22, 2017",37,Fixed,https://issuetracker.unity3d.com/issues/running-unity-in-batchmode-gives-a-result-file-with-the-wrong-test-type
Rect Transform values are set to NaN when decreasing the height of the C...,"To reproduce:

1. In a new project, create a Canvas
2. Set Render Mode to Screen Space - Camera
3. Select Main Camera as Render Came... ","Apr 01, 2017",34,Duplicate,https://issuetracker.unity3d.com/issues/rect-transform-values-are-set-to-nan-when-decreasing-the-height-of-the-content-game-object-in-scroll-view
"[Win] Stuttering sound of mp4 files, video lags","Steps to reproduce:
1. Open user attached project
2. Play the scene
3. Notice that the sound is stuttering, video lags

Expected res... ","Apr 08, 2017",30,Active,https://issuetracker.unity3d.com/issues/win-stuttering-sound-of-mp4-files-video-lags
Android Build fails when the latest Android SDK Tools 25.3.1 version is ...,"How to reproduce:
1. Update Android SDK Tools to 25.3.1
  - In Mac open Android Studio -> Check for updates and update Android Studi... ","Mar 08, 2017",39,Fixed,https://issuetracker.unity3d.com/issues/android-build-fails-when-the-latest-android-sdk-tools-25-dot-3-1-version-is-used
[Android] [iOS]  GLSL shader compilation failure on some mobile devices,"Steps to reproduce:

1) Download attached project 'UnityGLSLBug-Unity522.zip'
2) Build and run 'TestingGLES' scene on a devcie
Note:... ","Apr 07, 2017",29,Fixed,https://issuetracker.unity3d.com/issues/android-ios-glsl-shader-compilation-failure-on-some-mobile-devices
Crash in ShaderVariantCollection::GetShaderKeywordSetForShader when buil...,"Reproduction Steps:
1. Import attached project.
2. Build and Run on any platform. (Login and Main scenes need to be included)

Resul... ","Jun 12, 2017",16,Fixed,https://issuetracker.unity3d.com/issues/crash-in-shadervariantcollection-getshaderkeywordsetforshader-when-building-for-any-platform
"Rect Transform position values are set to NaN, when Rect Transform is cr...","To Reproduce:

1. Open project
2. Play scene
3. In hierarchy choose 'Sizer' object in 'Canvas- Scale 0.01'-> 'Table Holder'-> 'Table... ","Mar 21, 2017",32,Fixed,https://issuetracker.unity3d.com/issues/rect-transform-position-values-are-set-to-nan-when-rect-transform-is-created-via-script-and-canvas-is-scaled-to-0-dot-01
"Awake of NetworkBehaviour is not called at launch in standalone build, b...","In Editor, Awake and Start functions are called as follows: Awake in Networked object, Awake in local object, Start in local object,... ","Apr 19, 2017",23,Active,https://issuetracker.unity3d.com/issues/awake-of-networkbehaviour-is-not-called-at-launch-in-standalone-build-but-is-in-the-editor
[iOS] Changing the screen orientation via a script sometimes results in ...,"When the orientation of the screen is changed via a script (with Screen.orientation) on iOS 10 devices, sometimes the screen remains... ","Sep 27, 2016",200,Fixed,https://issuetracker.unity3d.com/issues/ios-changing-the-screen-orientation-via-a-script-sometimes-results-in-corrupted-view-on-ios-10
'Assertion failed: m_HandleManager.IsValidHandle (renderer.m_Handle)' er...,"To reproduce:

1. Open the project, attached by user (SMR.zip)
2. Open ""Repro"" scene
3. Enter Play mode
4. Observe console

Expected... ","May 18, 2017",18,Fixed,https://issuetracker.unity3d.com/issues/assertion-failed-m-handlemanager-dot-isvalidhandle-renderer-dot-m-handle-error-shown-when-setting-updatewhenoffscreen-via-script
"[Networking] Console is flooding with ""host id out of bound id {0} max i...","Reproduction steps:
1. Open the attached project.
2. Build and run it as Standalone.
3. Click ""Initialize Broadcast"".
4. Click ""Star... ","Apr 05, 2017",24,Fixed,https://issuetracker.unity3d.com/issues/networking-console-is-flooding-with-host-id-out-of-bound-id-0-max-id-should-be-greater-0-and-less-than-0-when-connected
[Regression] Crash in GfxDevice::SetRenderTargets caused by GrabPass{} i...,"1. Open QA stripped project
2. Open scene
3. Switch to android or iOS platform
-- CRASH

Reproduced on: 5.6.1p2, 2017.1.0b6, 2017.1.... ","Jun 15, 2017",15,Fixed,https://issuetracker.unity3d.com/issues/regression-crash-in-gfxdevice-setrendertargets-caused-by-grabpass-in-shader-on-android-platform
[iOS][Metal] GPU Hang Error (IOAF code 3) in Xcode Console,"Errors appear in the Xcode Console when User's project is run on iOS:
2017-04-19 12:55:18.131719+0300 KneeViewer[346:45705] Executio... ","Apr 18, 2017",21,Fixed,https://issuetracker.unity3d.com/issues/ios-metal-gpu-hang-error-ioaf-code-3-in-xcode-console
[iOS][Cardboard] Left and right camera view is offset too far away from ...,"Cardboard view cameras are offset too far away from one another, resulting in objects only being seen for one eye.

Steps to reprodu... ","May 03, 2017",18,Fixed,https://issuetracker.unity3d.com/issues/ios-cardboard-left-and-right-camera-view-is-offset-too-far-away-from-one-another-in-cardboard-mode-on-iphone-5-slash-ipod-6th-gen
Setting VideoPlayer.frame from code offsets audio,"How to reproduce:
1. Open attached project
2. Enter playmode
3. Click 'Setup'
4. When the video is playing press W to advance 200 fr... ","Mar 09, 2017",26,Fixed,https://issuetracker.unity3d.com/issues/setting-videoplayer-dot-frame-from-code-offsets-audio
Opening Dropdowns freezes Game View when using Fixed Resolution,"Reproduction Steps:
1. Import attached project ""893585 - DropDown.zip"".
2. Open ""DropDownTest"" scene.
3. Select Game View.
4. Make s... ","Mar 21, 2017",23,Duplicate,https://issuetracker.unity3d.com/issues/opening-dropdowns-freezes-game-view-when-using-fixed-resolution
"""Assertion failed: TLS Allocator ALLOC_TEMP_THREAD..."" error is shown af...","To reproduce:

1. Create a new project
2. Build it for iOS
3. Observe the console after the build has finished

Expected: no asserti... ","Jun 17, 2017",14,Active,https://issuetracker.unity3d.com/issues/assertion-failed-tls-allocator-alloc-temp-thread-dot-dot-dot-error-is-shown-after-building-the-project-for-ios
Compile error each time I load a custom package or plugin,"Compile error is throw when importing custom packages or plugins. Also, same error is thrown when new script is created. 

Compile e... ","Jan 27, 2017",34,Fixed,https://issuetracker.unity3d.com/issues/compile-error-each-time-i-load-a-custom-package-or-plugin
[iOS][Physics] Two MeshColliders pass through each other at certain angl...,"With a specific mesh in the scene, when another mesh is moving towards it (standard Cube, Sphere or a custom mesh), instead of colli... ","Jan 16, 2017",36,Postponed,https://issuetracker.unity3d.com/issues/ios-physics-two-meshcolliders-pass-through-each-other-at-certain-angles-on-ios-only
[Android] Video playback lags when activating and deactivating Input Field,"To reproduce:

1. Download and open attached ""repro934841.zip"" project.
2. Build and run for android.
3. Focus on Input field and en... ","Jul 25, 2017",12,Fixed,https://issuetracker.unity3d.com/issues/android-application-lag-terribly-when-returning-from-input-field-slash-soft-keyboard-entry-on-android
[iOS] Audio with 'Streaming' Load Type does not play on some devices run...,"If an Audio Clip has its Load Type set to 'Streaming' it does not play on some older devices running iOS 10.

Steps to reproduce:
1)... ","Sep 16, 2016",90,Fixed,https://issuetracker.unity3d.com/issues/ios-audio-with-streaming-load-type-does-not-play-on-some-devices-running-ios-10
[Android] Performance regression when loading a prefab with a lot of chi...,"To reproduce:

1.Download and open attached ""ResourcesLoadBugReport560p2.zip"" project.
2.Build and run on Android device.
3.Open pro... ","Apr 24, 2017",16,Fixed,https://issuetracker.unity3d.com/issues/android-performance-regression-when-loading-a-prefab-with-a-lot-of-child-objects-using-resources-dot-load
The XML report generated by the editor tests runner is missing the requi...,"Steps to reproduce:
1. Download the attached project
2. Run the tests through a command line
3. Unity.exe -projectPath PATH_TO_PROJE... ","May 14, 2017",15,Fixed,https://issuetracker.unity3d.com/issues/the-xml-report-generated-by-the-editor-tests-runner-is-missing-the-required-test-run-root-element
[Android] VideoPlayer not playing video,"How to reproduce:
1. Open user provided project
2. Build and run on device
3. Observe that instead of video only white quad is shown... ","Jan 02, 2017",30,Fixed,https://issuetracker.unity3d.com/issues/android-videoplayer-not-playing-video
Loading multiple bundles using AssetBundle.LoadAssetAsync freezes editor,"How to reproduce:
1. Open user's project
2. Enter play mode

There is a low chance that the bundles will be loaded successfully, in ... ","Dec 16, 2016",35,Fixed,https://issuetracker.unity3d.com/issues/loading-multiple-bundles-using-assetbundle-dot-loadassetasync-freezes-editor
Unity crashes when debugging with VS2017 when using .NET 4.6,"Reproduction steps:
1. Open project attached (Quiz1.zip).
2. Open scene ""MenuScreen"".
3. Open script ""onClick"" with VS2017.
4. Add b... ","Jun 13, 2017",13,Fixed,https://issuetracker.unity3d.com/issues/unity-crashes-when-debugging-with-vs2017-when-using-net-4-dot-6
Transform.position() values becomes to NaN when one GameObject rotates w...,"To reproduce:
1. Open repro project
2. Play scene
3. Using arrow keys (or w,a,s,d) move cube to the corner of ground

Expected: when... ","Mar 15, 2017",18,Postponed,https://issuetracker.unity3d.com/issues/transform-dot-position-values-becomes-to-nan-when-one-gameobject-rotates-while-colliding-the-edge-of-another-gameobject
"Messages in Android log: ""Unable to find AudioPluginMsHRTF"" ","Reproduction steps:
1. Open the attached project or create a new empty project
2. Build and run the project on Android device
3. Che... ","Jan 11, 2017",25,Active,https://issuetracker.unity3d.com/issues/unnecessary-errors-in-android-log-unable-to-find-audiopluginmshrtf
Calling WWW.movie fails to load and prints error LoadMoveData got NULL!,"Steps to reproduce:
1: Open attached project
2: In ""test"" scene enter play mode
3: Wait while movie is downloaded

- Errors in conso... ","Aug 23, 2016",71,Fixed,https://issuetracker.unity3d.com/issues/calling-www-dot-movie-fails-to-load-and-prints-error-loadmovedata-got-null
Errors message at editor play,"Errors message at editor play

Repros:  open scene1  press play in the editor and see following errors in the console:

In order to ... ","Feb 10, 2017",21,Fixed,https://issuetracker.unity3d.com/issues/errors-message-at-editor-play
Crash in physx::PxsBroadPhaseContextSap::batchUpdate after indeterminate...,"Reproduction steps:
1. Open project attached (GoIPhysXCrashRepro.zip)
2. Open scene crashtest1.
3. Press play.
4. Wait for 1-3 minut... ","Feb 07, 2017",21,Fixed,https://issuetracker.unity3d.com/issues/crash-in-physx-pxsbroadphasecontextsap-batchupdate-after-indeterminate-time-in-play-mode
[iOS] Sound volume of music playing on the device gets quiet after launc...,"When a Unity app is launched, any audio playing on the device (iTunes, Spotify, etc.) gets quiet, even when the app is not playing a... ","Sep 04, 2016",65,Fixed,https://issuetracker.unity3d.com/issues/ios-sound-volume-of-music-playing-on-the-device-gets-quiet-after-launching-a-unity-app
Editor crashes when examinating values in debugger with .NET 4.6,"Usual reproduction steps:
1. Open a specific project in .NET 4.6.
2. Enter play mode or recompile scripts.
Result: Sometimes editor ... ","Jul 04, 2017",12,Fixed,https://issuetracker.unity3d.com/issues/editor-sometimes-crashes-in-net-4-dot-6-on-compile-or-in-playmode
"Audio gets distorted when DSP buffer size is changed to ""Best Latency"" i...","To reproduce:
1. Open attached Unity project ""LowLatencyAudioBug.zip""
2. Open ""AudioBug"" scene
(For better performance, I suggest di... ","Jul 08, 2017",12,Won't Fix,https://issuetracker.unity3d.com/issues/audio-gets-distorted-when-dsp-buffer-size-is-changed-to-best-latency-in-play-mode
"When a button's interactability is re-enabled, it's ""Highlighted"" trigge...","Steps to reproduce:
1. Download and open the attached project
2. Enter playmode
3. Press any button
4. Press any other button

Expec... ","Feb 02, 2017",21,Fixed,https://issuetracker.unity3d.com/issues/when-a-buttons-interactability-is-re-enabled-its-highlighted-trigger-is-called-instead-of-normal
10 times longer asset bundle building when building multiple small asset...,"Steps to reproduce:
1. Download and open project ""assetbundletest.zip""
2. Click ""Assets/Build AssetBundles"" - 16 asset bundles each ... ","Nov 08, 2016",34,Fixed,https://issuetracker.unity3d.com/issues/drastically-longer-asset-bundle-building-time-when-building-multiple-small-asset-bundles
Component.tag during OnValidate throws console warning regarding SendMes...,"Steps to reproduce:
1. open attached project
2. enter play mode

Actual: Console warning ""SendMessage cannot be called during Awake,... ","Sep 02, 2016",57,Active,https://issuetracker.unity3d.com/issues/component-dot-tag-during-onvalidate-throws-console-warning-regarding-sendmessage
Game view disappears after playmode,"This issue is floating and appears in a while when user works with Editor for a certain time. 
Both GameView and SceneView should be... ","Aug 05, 2016",73,Fixed,https://issuetracker.unity3d.com/issues/game-view-disappears-after-playmode
CharacterController might start to ignore collisions after a scene was r...,"Steps to reproduce:
1. Open attached project
2. Open ""Test"" scene
3. Run the scene
4. Notice how ""Instance {number}"" fails to collid... ","Jun 29, 2016",93,Fixed,https://issuetracker.unity3d.com/issues/charactercontrollers-consistently-ignore-collisions-with-random-colliders
[Perforce] Built-in Perforce VC reports OnGUI error when opening Project...,"Steps to reproduce:

1. Install P4 server (free version is ok) available on the Perforce website (Helix)
2. Setup new workspace usin... ","Mar 30, 2017",16,Fixed,https://issuetracker.unity3d.com/issues/perforce-built-in-perforce-vc-reports-ongui-error-when-opening-project-settings-windows
[iOS] Crash in UnityRepaint() when resuming the app with different lands...,"When the orientation of the device is changed after the phone has been locked and before resuming the app, a crash occurs in UnityRe... ","Dec 18, 2016",25,Fixed,https://issuetracker.unity3d.com/issues/ios-crash-in-unityrepaint-when-resuming-the-app-with-different-landscape-orientation-if-running-at-60-fps
"'Look rotation viewing vector is zero' is shown, when the gameobject has...","If Canvas has a gameobject which has Rect Transform width or height set to 0 and this gameobject has a child with an UI element, a m... ","Dec 08, 2016",27,Fixed,https://issuetracker.unity3d.com/issues/look-rotation-viewing-vector-is-zero-is-shown-up-when-the-gameobject-has-an-ui-component-and-2d-view-is-turned-on
[iOS][Cardboard] Enable Transition View setting is ignored and always sh...,"When ""Enable Transition View"" is set to false, it should not show an instruction splash screen.

Also, the property title has a typo... ","Mar 21, 2017",16,Fixed,https://issuetracker.unity3d.com/issues/ios-cardboard-splash-screen-appears-even-if-enable-transition-view-is-set-to-false
[Android] PhysX crash  when calling Physics.OverlapBoxNonAlloc or Overla...,"How to reproduce:
1. Open the attached project
2. Build and run on Android device
3. Play the game, use skills by pressing any of th... ","Feb 06, 2017",19,Active,https://issuetracker.unity3d.com/issues/android-physx-crash-when-calling-physics-dot-overlapboxnonalloc-or-overlapbox
[Android]Input.gyro.attitude returns zero values when tested with Moto G...,"How to reproduce:
1. Download the attached project
2. Build and run on Motorola Moto G4
3. Move device and check logcat for returned... ","Jan 18, 2017",21,Won't Fix,https://issuetracker.unity3d.com/issues/input-dot-gyro-dot-attitude-returns-zero-values-when-tested-with-moto-g-4th-generation-device
Canvas stops rendering: d3d11: attempt to lock null vertex buffer when t...,"Steps to reproduce:
1. Open the attached project(Equilibrium of Divinity.zip)
2. Open the Assets/MainMenu.unity scene
3. Play the Sc... ","Jan 27, 2017",20,Not Reproducible,https://issuetracker.unity3d.com/issues/canvas-stops-rendering-d3d11-attempt-to-lock-null-vertex-buffer-when-tooltips-moved-to-other-canvas
Unity fails to load .NET 4.6 assemblies with TypeLoadException,"DLLs added to the project:
 Microsoft.Management.Infrastucture.dll
 Microsoft.Management.Infrastructure.Native.dll
 System.Managemen... ","May 17, 2017",13,Active,https://issuetracker.unity3d.com/issues/unity-fails-to-load-net-4-dot-6-assemblies-with-typeloadexception
"""Inspector"" tab switches to ""Services"" tab after 10-30 min.","How to reproduce:

1. Open attached project in Unity 5.5.0b8.
2. Open ""1"" scene.
3. Click on the ""Cube"" and wait from 10 to 30 min.
... ","Oct 21, 2016",31,Fixed,https://issuetracker.unity3d.com/issues/inspector-tab-switches-to-services-tab-after-10-30-min
Viewport content position values breaks to NaN value when changing Scrol...,"Reproduction steps:
1. Open project attached (ScrollRectTest.zip).
2. Open scene ""test"".
3. Press on Scroll Rect (in Canvas).
4. Dra... ","Feb 16, 2017",17,Fixed,https://issuetracker.unity3d.com/issues/viewport-content-position-values-breaks-to-nan-value-when-changing-scroll-rect-position-can-not-undo
[VR] Canvas should not lag behind when attached to a spatially tracked o...,"Steps to reproduce: 
1. Download and open attached project ""FloatingCanvas.zip""
2. Make sure HTC Vive is set up and connected
3. Mak... ","Jul 16, 2016",57,Fixed,https://issuetracker.unity3d.com/issues/vr-canvas-lags-behind-when-attached-to-a-controller
Request error (error) in console when Searching by Type in the Project B...,"Steps to reproduce :

- create a new project
- click on Search by Type 
- select a few options and notice the error 

Request error ... ","Mar 02, 2017",16,Active,https://issuetracker.unity3d.com/issues/error-when-searching-by-type-in-the-project-browser
"Multiple ""Dynamic batching: index buffer source is NULL"" errors because ...","Steps to reproduce:

1. Open attached project
2. Open and play scene ""Scene0""
3. Notice console flooded with: ""Dynamic batching: ind... ","Jul 27, 2016",49,Fixed,https://issuetracker.unity3d.com/issues/multiple-dynamic-batching-index-buffer-source-is-null-errors-because-of-procedurally-generated-mesh
WASM runtime error: integer overflow/unrepresentable,"-e: when running attached scene in WASM it will fail with an error about integer overflow
--works when loading asm build


-repro:
-... ","Mar 15, 2017",15,Fixed,https://issuetracker.unity3d.com/issues/wasm-runtime-error-integer-overflow-slash-unrepresentable
[iOS] [3DTouch] touch is executed with a delay on screen edges,"Reproduction steps (Reproduction video attached: 02/08/2017 3:06 PM, OnPointerDown.mp4 ):

1. Connect a device with a 3d Touch featu... ","Feb 07, 2017",17,Fix in review,https://issuetracker.unity3d.com/issues/ios-3dtouch-touch-is-executed-with-a-delay-on-screen-edges
"MeshRenderer.AdditionalVertexStreams collapse static meshes, regression ...","Steps to reproduce:
1. Open the attached project
2. Open the ""Test"" Scene
3. Play
4. Notice that object collapsed

Regression introd... ","Jun 16, 2016",57,Active,https://issuetracker.unity3d.com/issues/meshrenderer-dot-additionalvertexstreams-collapse-static-meshes
"[WSA] Error messages appear while/after building a project with ""Unity C...","Steps to reproduce:
1. Open the attached project (NoKey.zip)
2. Switch platform to Windows Store
3. Build for WSA Universal 10 (.NET... ","Jun 08, 2017",12,Fixed,https://issuetracker.unity3d.com/issues/wsa-error-messages-appear-while-slash-after-building-a-project-with-unity-c-number-projects-and-if-the-editor-folder-contains-a-script
